Sizes;NOINIT_SEQ_WRITE;INIT_SEQ_WRITE;NOINIT_SEQ_READ;INIT_SEQ_READ;NOINIT_RND_WRITE;INIT_RND_WRITE;NOINIT_RND_READ;INIT_RND_READ
420000;0.01;0.01;0.26;1.00;0.00;0.00;4.59;6.06
422500;0.01;0.04;0.26;1.00;0.00;0.01;3.46;6.33
425000;0.01;0.02;0.26;1.00;0.00;0.00;3.17;6.16
427500;0.01;0.01;0.26;1.00;0.01;0.01;3.34;4.62
430000;0.01;0.00;0.26;1.01;0.00;0.00;3.75;2.38
432500;0.01;0.01;0.24;0.94;0.01;0.01;5.11;5.15
435000;0.01;0.01;0.26;1.01;0.00;0.01;5.96;5.37
437500;0.01;0.00;0.27;1.00;0.00;0.01;4.96;6.35
440000;0.01;0.02;0.26;1.01;0.01;0.00;3.53;5.75
442500;0.01;0.01;0.25;1.00;0.01;0.00;3.65;5.90
445000;0.01;0.00;0.27;1.00;0.01;0.00;3.51;6.27
447500;0.01;0.02;0.27;1.01;0.00;0.00;3.11;6.14
450000;0.01;0.01;0.26;1.00;0.00;0.00;3.24;6.15
452500;0.01;0.00;0.26;0.99;0.00;0.01;3.22;5.77
455000;0.01;0.01;0.25;1.00;0.00;0.00;3.58;6.27
457500;0.01;0.01;0.27;1.01;0.01;0.00;3.05;6.09
460000;0.01;0.01;0.27;0.99;0.01;0.01;3.22;5.97
462500;0.01;0.00;0.26;0.99;0.01;0.01;3.32;6.51
465000;0.01;0.01;0.26;1.01;0.00;0.01;2.79;4.63
467500;0.01;0.01;0.27;1.01;0.01;0.01;4.62;4.57
470000;0.01;0.00;0.26;1.01;0.01;0.01;4.67;5.75
472500;0.01;0.00;0.27;1.01;0.01;0.00;3.49;5.69
475000;0.01;0.00;0.27;1.00;0.01;0.01;3.54;6.40
477500;0.01;0.01;0.27;1.00;0.00;0.00;2.82;3.43
480000;0.01;0.00;0.27;0.53;0.00;0.00;5.65;5.29
482500;0.01;0.00;0.25;0.53;0.01;0.00;0.13;5.53
485000;0.01;0.00;0.26;0.53;0.01;0.00;6.49;5.92
487500;0.01;0.02;0.26;0.54;0.00;0.01;4.08;5.72
490000;0.01;0.00;0.27;0.51;0.01;0.00;3.43;6.02
492500;0.01;0.02;0.26;0.99;0.01;0.00;2.74;5.53
495000;0.01;0.01;0.27;1.32;0.01;0.01;2.95;6.58
497500;0.01;0.01;0.27;1.31;0.00;0.00;1.90;6.42
500000;0.01;0.02;0.26;1.32;0.00;0.00;2.03;6.30
502500;0.01;0.01;0.27;1.34;0.00;0.00;2.09;6.30
505000;0.01;0.00;0.27;1.32;0.00;0.00;2.10;6.34
507500;0.01;0.01;0.26;0.99;0.00;0.01;2.11;6.36
510000;0.01;0.00;0.27;1.00;0.01;0.01;2.06;6.33
512500;0.01;0.01;0.27;1.00;0.01;0.02;2.03;5.45
515000;0.01;0.00;0.26;1.02;0.01;0.01;2.91;5.79
517500;0.01;0.00;0.27;1.00;0.01;0.00;2.57;5.57
520000;0.01;0.02;0.27;0.99;0.01;0.01;2.79;6.34
522500;0.01;0.00;0.27;0.99;0.01;0.00;1.99;6.09
525000;0.01;0.00;0.24;1.00;0.01;0.02;2.26;5.84
527500;0.01;0.00;0.27;1.01;0.00;0.00;2.46;6.04
530000;0.01;0.02;0.26;1.33;0.00;0.00;2.23;6.54
532500;0.01;0.01;0.27;1.33;0.00;0.01;1.72;5.78
535000;0.01;0.02;0.27;1.34;0.00;0.00;2.45;4.91
537500;0.01;0.00;0.27;1.35;0.00;0.00;3.31;5.85
540000;0.01;0.00;0.27;1.49;0.00;0.01;2.39;6.67
542500;0.01;0.01;0.27;1.67;0.00;0.00;1.55;5.12
545000;0.01;0.00;0.26;1.64;0.00;0.01;3.07;6.58
547500;0.01;0.03;0.27;1.61;0.00;0.00;1.61;6.54
550000;0.01;0.01;0.25;1.66;0.00;0.00;1.63;6.27
552500;0.01;0.00;0.26;1.66;0.00;0.01;1.89;6.56
555000;0.00;0.02;0.27;1.63;0.00;0.00;1.61;5.65
557500;0.01;0.01;0.27;1.67;0.00;0.02;2.47;5.77
560000;0.01;0.01;0.26;1.58;0.00;0.00;2.33;5.63
562500;0.01;0.00;0.26;1.60;0.00;0.01;2.45;5.90
565000;0.00;0.00;0.26;1.61;0.00;0.00;2.24;6.38
567500;0.01;0.01;0.25;1.64;0.00;0.00;1.72;6.59
570000;0.01;0.00;0.27;1.65;0.00;0.03;1.45;6.29
572500;0.01;0.01;0.25;1.63;0.00;0.02;1.79;6.63
575000;0.01;0.04;0.26;1.62;0.00;0.02;1.39;5.37
577500;0.01;0.01;0.27;1.66;0.00;0.00;2.65;6.35
580000;0.01;0.00;0.26;1.66;0.00;0.02;1.66;5.68
582500;0.01;0.00;0.26;1.34;0.00;0.01;2.32;5.11
585000;0.01;0.00;0.27;1.34;0.00;0.00;2.86;6.25
587500;0.01;0.00;0.26;1.31;0.00;0.00;1.75;4.58
590000;0.01;0.01;0.26;1.49;0.00;0.00;3.06;6.13
592500;0.01;0.01;0.27;1.48;0.00;0.00;1.49;5.79
595000;0.01;0.01;0.26;1.45;0.00;0.01;1.87;5.35
597500;0.01;0.00;0.27;1.48;0.01;0.01;2.29;6.48
600000;0.01;0.01;0.27;1.50;0.00;0.00;1.10;6.10
602500;0.01;0.00;0.26;1.59;0.00;0.01;1.43;6.29
605000;0.01;0.01;0.26;1.26;0.00;0.01;1.40;6.56
607500;0.01;0.00;0.27;0.95;0.00;0.00;1.95;6.43
610000;0.01;0.00;0.27;1.00;0.00;0.01;2.08;5.80
612500;0.01;0.01;0.26;1.00;0.00;0.00;2.68;4.57
615000;0.01;0.02;0.27;0.97;0.00;0.01;3.88;5.47
617500;0.02;0.01;0.26;0.97;0.00;0.00;3.00;6.49
620000;0.01;0.00;0.26;0.99;0.00;0.00;1.90;5.89
622500;0.01;0.00;0.27;0.96;0.00;0.00;2.51;6.46
625000;0.01;0.00;0.26;1.00;0.00;0.02;1.97;6.12
627500;0.01;0.02;0.26;0.98;0.00;0.00;2.27;6.59
630000;0.01;0.01;0.27;0.99;0.00;0.01;1.81;6.04
632500;0.01;0.00;0.27;1.00;0.00;0.00;2.34;6.66
635000;0.01;0.00;0.27;0.99;0.00;0.00;1.69;6.57
637500;0.01;0.00;0.26;0.98;0.00;0.01;1.79;6.32
640000;0.01;0.00;0.21;0.86;0.00;0.02;1.68;5.57
642500;0.01;0.00;0.26;0.89;0.00;0.00;3.03;5.97
645000;0.01;0.01;0.27;0.91;0.00;0.00;2.29;4.96
647500;0.01;0.01;0.26;0.82;0.00;0.00;3.34;6.27
650000;0.01;0.01;0.27;0.90;0.00;0.00;1.97;5.96
652500;0.01;0.00;0.26;0.65;0.00;0.00;2.26;6.00
655000;0.00;0.00;0.27;1.00;0.00;0.00;2.25;6.22
657500;0.01;0.02;0.24;0.95;0.00;0.00;2.02;5.43
660000;0.01;0.01;0.27;0.97;0.00;0.00;2.78;5.67
662500;0.01;0.01;0.26;1.00;0.00;0.00;2.55;5.40
665000;0.01;0.01;0.27;0.96;0.00;0.02;2.27;6.14
667500;0.01;0.00;0.26;1.01;0.01;0.00;1.50;6.08
670000;0.01;0.01;0.26;0.98;0.00;0.00;2.09;6.27
672500;0.01;0.00;0.26;0.97;0.00;0.02;1.91;6.39
675000;0.01;0.00;0.25;0.50;0.00;0.01;1.76;6.16
677500;0.01;0.00;0.26;0.71;0.01;0.00;1.79;5.68
680000;0.01;0.02;0.27;0.82;0.01;0.00;2.01;6.26
682500;0.01;0.02;0.27;1.07;0.00;0.01;1.28;6.16
685000;0.01;0.00;0.25;0.80;0.00;0.01;1.48;5.22
687500;0.01;0.01;0.26;0.79;0.00;0.01;2.39;6.19
690000;0.01;0.01;0.27;0.92;0.01;0.00;1.29;5.65
692500;0.01;0.01;0.26;0.83;0.01;0.00;1.91;5.74
695000;0.01;0.03;0.16;0.86;0.00;0.00;1.88;5.79
697500;0.01;0.00;0.27;0.91;0.00;0.00;1.67;6.06
700000;0.01;0.00;0.26;0.91;0.00;0.00;1.39;6.05
702500;0.01;0.00;0.24;0.93;0.01;0.00;1.29;3.28
705000;0.01;0.00;0.27;1.05;0.00;0.01;3.96;6.41
707500;0.01;0.01;0.26;0.82;0.00;0.02;0.97;5.82
710000;0.01;0.01;0.27;0.92;0.00;0.00;1.39;6.04
712500;0.01;0.01;0.27;0.95;0.01;0.00;1.15;5.76
715000;0.01;0.01;0.27;0.80;0.00;0.01;1.57;2.99
717500;0.01;0.01;0.27;0.82;0.01;0.01;4.19;2.53
720000;0.01;0.00;0.27;0.73;0.00;0.01;3.91;3.61
722500;0.01;0.03;0.26;0.74;0.01;0.01;2.76;5.43
725000;0.01;0.01;0.26;0.78;0.01;0.01;0.85;5.49
727500;0.01;0.01;0.21;0.61;0.01;0.02;0.92;5.20
730000;0.01;0.00;0.26;0.77;0.00;0.02;1.03;4.90
732500;0.01;0.00;0.27;0.70;0.00;0.02;1.32;4.94
735000;0.01;0.01;0.27;0.68;0.01;0.00;1.31;3.60
737500;0.01;0.01;0.27;0.71;0.01;0.00;2.59;4.63
740000;0.01;0.01;0.25;0.68;0.00;0.00;1.60;5.36
742500;0.01;0.02;0.24;0.76;0.00;0.01;0.79;4.79
745000;0.02;0.03;0.27;0.58;0.00;0.00;1.43;4.60
747500;0.01;0.03;0.27;0.60;0.00;0.00;1.63;4.38
750000;0.01;0.01;0.26;0.67;0.01;0.02;1.75;5.08
752500;0.01;0.00;0.23;0.62;0.00;0.00;1.13;5.13
755000;0.01;0.00;0.25;0.68;0.01;0.00;0.99;3.69
757500;0.01;0.01;0.27;0.81;0.00;0.01;2.26;1.61
760000;0.01;0.02;0.26;0.55;0.01;0.01;4.58;4.51
762500;0.01;0.00;0.27;0.70;0.00;0.00;1.53;3.54
765000;0.01;0.00;0.27;0.70;0.00;0.00;2.47;2.48
767500;0.01;0.00;0.26;0.66;0.00;0.01;3.56;3.53
770000;0.01;0.02;0.27;0.47;0.00;0.00;2.66;4.46
772500;0.01;0.01;0.25;0.63;0.00;0.00;1.58;5.12
775000;0.01;0.01;0.26;0.64;0.01;0.02;0.89;4.00
777500;0.01;0.02;0.27;0.54;0.01;0.02;2.03;4.73
780000;0.01;0.01;0.25;0.56;0.01;0.00;1.26;3.73
782500;0.01;0.01;0.26;0.46;0.01;0.00;2.38;5.15
785000;0.01;0.01;0.27;0.48;0.01;0.01;0.93;2.12
787500;0.01;0.01;0.25;0.48;0.00;0.00;3.92;3.95
790000;0.01;0.01;0.26;0.46;0.01;0.00;2.10;4.97
792500;0.01;0.02;0.27;0.44;0.00;0.01;1.07;5.05
795000;0.01;0.01;0.26;0.52;0.01;0.00;0.91;4.36
797500;0.01;0.00;0.26;0.42;0.01;0.01;1.65;4.42
800000;0.01;0.00;0.25;0.39;0.01;0.01;1.59;4.36
802500;0.01;0.03;0.27;0.58;0.00;0.00;1.46;4.48
805000;0.01;0.00;0.27;0.48;0.01;0.00;1.40;4.41
807500;0.01;0.01;0.27;0.50;0.00;0.00;1.49;4.60
810000;0.01;0.00;0.26;0.50;0.01;0.01;1.25;4.57
812500;0.01;0.02;0.26;0.49;0.00;0.00;1.26;5.35
