Sizes;NOINIT_WRITE;INIT_WRITE;NOINIT_READ;INIT_READ
306000;100.00;100.00;100.00;99.50
307000;100.00;100.00;100.00;99.70
308000;100.00;100.00;100.00;99.70
309000;100.00;100.00;100.00;100.00
310000;100.00;100.00;100.00;100.00
311000;100.00;100.00;100.00;99.90
312000;100.00;100.00;100.00;99.50
313000;100.00;100.00;100.00;99.50
314000;100.00;100.00;100.00;99.60
315000;100.00;100.00;100.00;100.00
316000;100.00;100.00;100.00;99.50
317000;100.00;100.00;100.00;99.50
318000;100.00;100.00;100.00;99.80
319000;100.00;100.00;100.00;99.60
320000;100.00;100.00;100.00;100.00
321000;100.00;100.00;100.00;100.00
322000;100.00;100.00;100.00;99.80
323000;100.00;100.00;100.00;99.70
324000;100.00;100.00;100.00;99.60
325000;100.00;100.00;100.00;99.90
326000;100.00;100.00;100.00;99.80
327000;100.00;100.00;100.00;99.70
328000;100.00;100.00;100.00;100.00
329000;100.00;100.00;100.00;100.00
330000;100.00;100.00;100.00;99.50
331000;100.00;100.00;100.00;99.60
332000;100.00;100.00;100.00;99.60
333000;100.00;100.00;100.00;100.00
334000;100.00;100.00;100.00;100.00
335000;100.00;100.00;100.00;99.50
336000;100.00;100.00;100.00;100.00
337000;100.00;100.00;100.00;100.00
338000;100.00;100.00;100.00;99.60
339000;100.00;100.00;100.00;99.60
340000;100.00;100.00;100.00;99.80
341000;100.00;100.00;100.00;99.90
342000;100.00;100.00;100.00;99.80
343000;100.00;100.00;100.00;100.00
344000;100.00;100.00;100.00;99.90
345000;100.00;100.00;100.00;99.80
346000;100.00;100.00;100.00;99.80
347000;100.00;100.00;100.00;99.60
348000;100.00;100.00;100.00;99.80
349000;100.00;100.00;100.00;99.90
350000;100.00;100.00;100.00;99.80
351000;100.00;100.00;100.00;99.90
352000;100.00;100.00;100.00;99.50
353000;100.00;100.00;100.00;99.70
354000;100.00;100.00;100.00;99.50
355000;100.00;100.00;100.00;99.70
356000;100.00;100.00;100.00;99.70
357000;100.00;100.00;100.00;99.70
358000;100.00;100.00;100.00;100.00
359000;100.00;100.00;100.00;99.70
360000;100.00;100.00;100.00;99.80
361000;100.00;100.00;100.00;100.00
362000;100.00;100.00;100.00;99.70
363000;100.00;100.00;100.00;99.80
364000;100.00;100.00;100.00;99.90
365000;100.00;100.00;100.00;99.60
366000;100.00;100.00;100.00;99.70
367000;100.00;100.00;100.00;99.70
368000;100.00;100.00;100.00;99.60
369000;100.00;100.00;100.00;100.00
370000;100.00;100.00;100.00;99.90
371000;100.00;100.00;100.00;100.00
372000;100.00;100.00;100.00;100.00
373000;100.00;100.00;100.00;100.00
374000;100.00;100.00;100.00;99.80
375000;100.00;100.00;100.00;100.00
376000;100.00;100.00;100.00;100.00
377000;100.00;100.00;100.00;99.70
378000;100.00;100.00;100.00;99.80
379000;100.00;100.00;100.00;99.60
380000;100.00;100.00;100.00;99.70
381000;100.00;100.00;100.00;100.00
382000;100.00;100.00;100.00;100.00
383000;100.00;100.00;100.00;99.60
384000;100.00;100.00;100.00;99.70
385000;100.00;100.00;100.00;100.00
386000;100.00;100.00;100.00;99.80
387000;100.00;100.00;100.00;99.70
388000;100.00;100.00;100.00;99.70
389000;100.00;100.00;100.00;99.90
390000;100.00;100.00;100.00;99.80
391000;100.00;100.00;100.00;100.00
392000;100.00;100.00;100.00;99.70
393000;100.00;100.00;100.00;99.90
394000;100.00;100.00;100.00;100.00
395000;100.00;100.00;100.00;99.80
396000;100.00;100.00;100.00;99.90
397000;100.00;100.00;100.00;100.00
398000;100.00;100.00;100.00;100.00
399000;100.00;100.00;100.00;100.00
400000;100.00;100.00;100.00;100.00
401000;100.00;100.00;100.00;100.00
402000;100.00;100.00;100.00;99.80
403000;100.00;100.00;100.00;100.00
404000;100.00;100.00;100.00;99.90
405000;100.00;100.00;100.00;99.70
406000;100.00;100.00;100.00;100.00
407000;100.00;100.00;100.00;100.00
408000;100.00;100.00;100.00;99.90
409000;100.00;100.00;100.00;100.00
410000;100.00;100.00;100.00;99.70
411000;100.00;100.00;100.00;100.00
412000;100.00;100.00;100.00;100.00
413000;100.00;100.00;100.00;100.00
414000;100.00;100.00;100.00;99.70
415000;100.00;100.00;100.00;99.90
416000;100.00;100.00;100.00;99.60
417000;100.00;100.00;100.00;100.00
418000;100.00;100.00;100.00;100.00
419000;100.00;100.00;100.00;100.00
420000;100.00;100.00;100.00;100.00
421000;100.00;100.00;100.00;99.90
422000;100.00;100.00;100.00;100.00
423000;100.00;100.00;100.00;99.80
424000;100.00;100.00;100.00;100.00
425000;100.00;100.00;100.00;100.00
426000;100.00;100.00;100.00;100.00
427000;100.00;100.00;100.00;99.80
428000;100.00;100.00;100.00;100.00
429000;100.00;100.00;100.00;100.00
430000;100.00;100.00;100.00;100.00
431000;100.00;100.00;100.00;100.00
432000;100.00;100.00;100.00;100.00
433000;100.00;100.00;100.00;100.00
434000;100.00;100.00;100.00;99.60
435000;100.00;100.00;100.00;100.00
436000;100.00;100.00;100.00;100.00
437000;100.00;100.00;100.00;100.00
438000;100.00;100.00;100.00;100.00
439000;100.00;100.00;100.00;100.00
440000;100.00;100.00;100.00;100.00
441000;100.00;100.00;100.00;100.00
442000;100.00;100.00;100.00;100.00
443000;100.00;100.00;100.00;100.00
444000;100.00;100.00;100.00;100.00
445000;100.00;100.00;100.00;100.00
446000;100.00;100.00;100.00;100.00
447000;100.00;100.00;100.00;100.00
448000;100.00;100.00;100.00;100.00
449000;100.00;100.00;100.00;100.00
450000;100.00;100.00;100.00;100.00
451000;100.00;100.00;100.00;100.00
452000;100.00;100.00;100.00;100.00
453000;100.00;100.00;100.00;100.00
454000;100.00;100.00;100.00;100.00
455000;100.00;100.00;100.00;100.00
456000;100.00;100.00;100.00;100.00
457000;100.00;100.00;100.00;100.00
458000;100.00;100.00;100.00;100.00
459000;100.00;100.00;100.00;100.00
460000;100.00;100.00;100.00;100.00
461000;100.00;100.00;100.00;100.00
462000;100.00;100.00;100.00;100.00
463000;100.00;100.00;100.00;100.00
464000;100.00;100.00;100.00;100.00
465000;100.00;100.00;100.00;100.00
466000;100.00;100.00;100.00;100.00
467000;100.00;100.00;100.00;100.00
468000;100.00;100.00;100.00;100.00
469000;100.00;100.00;100.00;100.00
470000;100.00;100.00;100.00;100.00
471000;100.00;100.00;100.00;100.00
472000;100.00;100.00;100.00;100.00
473000;100.00;100.00;100.00;100.00
474000;100.00;100.00;100.00;100.00
475000;100.00;100.00;100.00;100.00
476000;100.00;100.00;100.00;100.00
477000;100.00;100.00;100.00;100.00
478000;100.00;100.00;100.00;100.00
479000;100.00;100.00;100.00;100.00
480000;100.00;100.00;100.00;100.00
481000;100.00;100.00;100.00;99.70
482000;100.00;100.00;100.00;100.00
483000;100.00;100.00;100.00;100.00
484000;100.00;100.00;100.00;100.00
485000;100.00;100.00;100.00;100.00
486000;100.00;100.00;100.00;100.00
487000;100.00;100.00;100.00;100.00
488000;100.00;100.00;100.00;100.00
